Step AcceptanceRate Energy[eV]
1 0 -0.0874803
2 0.5 -0.0874535
3 0.333333 -0.0874535
4 0.5 -0.0874378
5 0.6 -0.087415
6 0.5 -0.087415
7 0.428571 -0.087415
8 0.375 -0.087415
9 0.333333 -0.087415
10 0.3 -0.087415
11 0.363636 -0.0873546
12 0.416667 -0.0873512
13 0.384615 -0.0873512
14 0.357143 -0.0873512
15 0.333333 -0.0873512
16 0.3125 -0.0873512
17 0.352941 -0.0872548
18 0.388889 -0.087237
19 0.368421 -0.087237
20 0.4 -0.0872196
21 0.380952 -0.0872196
22 0.363636 -0.0872196
23 0.347826 -0.0872196
24 0.375 -0.0871345
25 0.4 -0.0870706
26 0.423077 -0.0870272
27 0.407407 -0.0870272
28 0.392857 -0.0870272
29 0.37931 -0.0870272
30 0.366667 -0.0870272
31 0.354839 -0.0870272
32 0.34375 -0.0870272
33 0.363636 -0.0869881
34 0.382353 -0.0869608
35 0.371429 -0.0869608
36 0.361111 -0.0869608
37 0.351351 -0.0869608
38 0.368421 -0.0869161
39 0.358974 -0.0869161
40 0.375 -0.0868628
41 0.390244 -0.0868119
42 0.380952 -0.0868119
43 0.372093 -0.0868119
44 0.386364 -0.0867676
45 0.4 -0.0867388
46 0.413043 -0.086647
47 0.404255 -0.086647
48 0.416667 -0.086562
49 0.428571 -0.0865179
50 0.44 -0.0864741
51 0.431373 -0.0864741
52 0.423077 -0.0864741
53 0.433962 -0.0863932
54 0.425926 -0.0863932
55 0.436364 -0.0863773
56 0.446429 -0.0863314
57 0.438596 -0.0863314
58 0.431034 -0.0863314
59 0.440678 -0.0862643
60 0.45 -0.086175
61 0.442623 -0.086175
62 0.435484 -0.086175
63 0.444444 -0.0861346
64 0.453125 -0.0860866
65 0.461538 -0.0860562
66 0.469697 -0.0859479
67 0.462687 -0.0859479
68 0.455882 -0.0859479
69 0.449275 -0.0859479
70 0.442857 -0.0859479
71 0.43662 -0.0859479
72 0.430556 -0.0859479
73 0.438356 -0.0859288
74 0.445946 -0.0859031
75 0.44 -0.0859031
76 0.447368 -0.0858695
77 0.454545 -0.0858099
78 0.461538 -0.0857713
79 0.455696 -0.0857713
80 0.45 -0.0857713
81 0.45679 -0.0857021
82 0.45122 -0.0857021
83 0.457831 -0.0856477
84 0.464286 -0.0856173
85 0.470588 -0.0855981
86 0.476744 -0.0855663
87 0.471264 -0.0855663
88 0.477273 -0.085516
89 0.47191 -0.085516
90 0.466667 -0.085516
91 0.472527 -0.0855013
92 0.467391 -0.0855013
93 0.473118 -0.0854728
94 0.478723 -0.0854211
95 0.484211 -0.0853967
96 0.479167 -0.0853967
97 0.484536 -0.0854208
98 0.479592 -0.0854208
99 0.484848 -0.085375
100 0.49 -0.0853297
101 0.485149 -0.0853297
102 0.490196 -0.0852983
103 0.495146 -0.0852274
104 0.490385 -0.0852274
105 0.495238 -0.0852265
106 0.490566 -0.0852265
107 0.485981 -0.0852265
108 0.481481 -0.0852265
