# Time-averaged data for fix data_saving
# TimeStep c_mytemp c_mypress v_myvol c_PE c_KE
0 2000 16735.8 87825.6 -20791 1376.1
100 1060.1 52454.7 87825.6 -20141.3 729.407
200 1012.26 54131.6 87825.6 -20099.3 696.485
300 997.877 55250.4 87825.6 -20080.2 686.591
400 1009.18 55197.5 87825.6 -20079.3 694.366
500 1011.85 55831.6 87825.7 -20071 696.206
600 1042.67 55245.6 87825.7 -20080.8 717.413
700 1041.59 56377.2 87825.8 -20067.9 716.668
800 1061.74 56344.3 87825.8 -20069.1 730.529
900 1050.21 57852.2 87825.9 -20047.9 722.601
1000 1063.75 57948.2 87826 -20043.6 731.915
1100 1085.08 58134.2 87826.1 -20044.2 746.59
1200 1086.57 59111 87826.2 -20030.7 747.615
1300 1109.97 59184 87826.3 -20031.9 763.715
1400 1111.91 59989.2 87826.4 -20018 765.051
1500 1110.12 61152.7 87826.5 -20001.1 763.818
1600 1138.63 60830.9 87826.7 -20004.8 783.433
1700 1147.56 61710.6 87826.8 -19994.7 789.58
1800 1160.87 62341.9 87827 -19987.4 798.739
1900 1174.9 62731.8 87827.2 -19980.2 808.39
2000 1188.6 63336.4 87827.3 -19972.6 817.817
2100 1192.53 64222.4 87827.5 -19958 820.524
2200 1190.57 65399.1 87827.7 -19939 819.173
2300 1213.4 65865.9 87827.9 -19936.8 834.883
2400 1239.13 65991.9 87828.1 -19936.5 852.584
2500 1244.36 66880.3 87828.4 -19921.7 856.183
2600 1239.85 68338.7 87828.6 -19900.1 853.082
2700 1267.27 68655.4 87828.9 -19900.2 871.95
2800 1296.14 68810.8 87829.1 -19901 891.812
2900 1296.7 69957.1 87829.4 -19882.2 892.196
3000 1318.95 70147.2 87829.7 -19878.2 907.509
3100 1323.6 71324.7 87830 -19861.8 910.706
3200 1318.04 72862.5 87830.3 -19838.3 906.883
3300 1351.78 72769.5 87830.6 -19841.5 930.093
3400 1366.12 73523 87830.9 -19831.3 939.964
3500 1377.71 74083.3 87831.3 -19819.1 947.934
3600 1384.52 75258.9 87831.6 -19803.3 952.62
3700 1389.2 76326.9 87832 -19786.1 955.838
3800 1422.81 76647.8 87832.4 -19788.6 978.967
3900 1430.16 77178.3 87832.7 -19772.8 984.023
4000 1448.08 78053.4 87833.1 -19764.3 996.351
4100 1471.77 78555.7 87833.6 -19759.5 1012.66
4200 1453.07 80394.6 87834 -19725.6 999.786
4300 1465.56 81105 87834.4 -19713.1 1008.38
4400 1493.7 81736.9 87834.9 -19711.1 1027.74
4500 1492.37 82922 87835.3 -19688.9 1026.83
4600 1498.79 83971.6 87835.8 -19672 1031.24
4700 1538.98 83988.4 87836.3 -19678.1 1058.9
4800 1537.57 85216 87836.8 -19655.7 1057.92
4900 1552.38 85837.9 87837.3 -19644.3 1068.12
5000 1610.56 85291.2 87837.8 -19662.8 1108.15
5100 1618.28 86508.1 87838.4 -19646.6 1113.46
5200 1610.76 88304.4 87838.9 -19620 1108.28
5300 1641.43 87927.7 87839.5 -19619.5 1129.39
5400 1634.71 89856.5 87840.1 -19593.4 1124.77
5500 1644.32 90802.3 87840.7 -19578.6 1131.38
5600 1635.59 92292.6 87841.3 -19551.2 1125.37
5700 1673.29 92285.9 87841.9 -19555.9 1151.31
5800 1686.83 92980.2 87842.6 -19543.8 1160.62
5900 1709.64 93374.7 87843.2 -19538.4 1176.32
6000 1739.82 93952.9 87843.9 -19538.1 1197.09
