# Time-averaged data for fix data_saving
# TimeStep c_mytemp c_mypress v_myvol c_PE c_KE
0 1100 34826 87825.6 -20800.7 756.857
100000 1083.47 42229.1 92187.7 -20142.7 745.482
200000 1082.51 17458.9 96911.7 -19986.9 744.826
300000 1071.5 14181.2 100733 -19680.4 737.247
400000 1099.96 2779.86 102986 -19598 756.827
500000 1104.97 -2028.24 103790 -19590.5 760.277
600000 1082.67 -1467.72 103753 -19584.7 744.934
700000 1084.26 -1160.44 103504 -19601.8 746.027
800000 1119.19 1365.95 103426 -19584.3 770.061
900000 1092.82 630.366 103503 -19581.5 751.917
1000000 1076.43 -451.276 103558 -19587.7 740.642
1100000 1096.01 407.265 103506 -19583.6 754.109
1200000 1063.63 391.816 103464 -19585.8 731.834
1300000 1069.18 -33.0087 103448 -19593.9 735.649
1400000 1072.31 652.443 103431 -19590 737.803
1500000 1095.5 1037.24 103425 -19580.7 753.761
1600000 1092.35 492.147 103461 -19589.5 751.594
1700000 1085.99 -44.8217 103455 -19596.3 747.221
1800000 1089.62 -258.77 103399 -19604.4 749.715
1900000 1077.02 -734.589 103376 -19611 741.048
2000000 1082.33 -519.048 103363 -19606.4 744.696
2100000 1067.73 -12.5172 103370 -19597.3 734.651
2200000 1079.85 -163.585 103377 -19607.8 742.993
2300000 1089.49 765.031 103386 -19588.8 749.624
2400000 1069.67 171.127 103347 -19603.1 735.989
2500000 1098.4 466.281 103299 -19603 755.756
2600000 1104.18 494.54 103312 -19602.6 759.736
2700000 1095.59 -820.441 103316 -19615.6 753.823
2800000 1072.52 6.25363 103310 -19607.4 737.951
2900000 1057.52 -700.684 103318 -19611.2 727.628
3000000 1055.85 624.074 103280 -19595.7 726.478
3100000 1072 717.941 103216 -19606.7 737.591
3200000 1061.24 -914.212 103236 -19630.5 730.188
3300000 1079.04 -92.5734 103280 -19617.6 742.432
3400000 1065.47 -996.591 103255 -19627.8 733.098
3500000 1073.46 832.811 103198 -19607.2 738.594
3600000 1059.41 -191.737 103194 -19623 728.926
3700000 1064.67 321.806 103198 -19611 732.547
3800000 1075.85 -212.705 103212 -19618.9 740.241
3900000 1065.57 829.558 103192 -19606.6 733.169
4000000 1052.9 60.8441 103185 -19621.6 724.452
4100000 1060.42 303.524 103182 -19612.5 729.624
4200000 1054.24 258.366 103134 -19617.2 725.373
4300000 1067.33 625.143 103133 -19619.5 734.381
4400000 1064.35 930.157 103150 -19610.7 732.329
4500000 1064.08 21.6107 103158 -19621.7 732.141
4600000 1040.41 -519.702 103122 -19628.5 715.857
4700000 1043 -226.27 103098 -19628.9 717.636
4800000 1061.43 -915.759 103119 -19638.9 730.318
4900000 1059.08 718.474 103118 -19620.2 728.703
5000000 1024.09 -456.028 103099 -19638.5 704.627
5100000 1064.73 454.002 103074 -19623.6 732.591
5200000 1050.13 -825.414 103051 -19640.8 722.546
5300000 1054.2 124.733 103068 -19630.5 725.345
5400000 1067.32 -132.614 103075 -19632.1 734.374
5500000 1051.85 475.685 103032 -19635.6 723.73
5600000 1036.53 481.283 102995 -19639.4 713.186
5700000 1045.81 115.375 102992 -19634.1 719.571
5800000 1044.59 -979.823 103008 -19651.3 718.73
5900000 1039.45 -484.139 103013 -19641.5 715.195
6000000 1051.28 -481.093 102951 -19652.7 723.333
6100000 1051.47 -158.461 102901 -19652.3 723.465
6200000 1049.92 75.9231 102928 -19649.8 722.4
6300000 1024.67 -20.879 102976 -19638.6 705.027
6400000 1037.06 865.206 102984 -19627.9 713.548
6500000 1041.65 -513.258 102891 -19654.2 716.708
6600000 1033.3 -49.1956 102825 -19661.4 710.962
6700000 1035.53 -532.533 102884 -19661.6 712.499
6800000 1040 -143.103 102953 -19642.9 715.576
6900000 1042.31 529.881 102910 -19644.6 717.164
7000000 1013.3 -538.504 102826 -19664.2 697.201
7100000 1031 646.446 102807 -19652.2 709.38
7200000 1009.82 26.4408 102848 -19647.7 694.807
7300000 1039.68 -447.269 102872 -19662.4 715.35
7400000 1002.39 301.642 102806 -19648.5 689.698
7500000 1030.12 209.1 102726 -19661.1 708.779
7600000 1026.67 -948.758 102762 -19672.7 706.399
7700000 1029.29 -86.524 102866 -19655.8 708.208
7800000 1001.88 -1035.7 102873 -19663.7 689.345
7900000 1024.68 807.596 102666 -19665.2 705.031
8000000 1018.45 1459.38 102543 -19663.8 700.743
8100000 1041.02 216.798 102722 -19662.2 716.274
8200000 1024.94 -451.246 102947 -19649.3 705.215
8300000 1022.73 -325.17 102836 -19664.5 703.689
8400000 1019.14 1139.98 102516 -19669.5 701.22
8500000 996.408 685.099 102470 -19676.4 685.58
8600000 1018.29 281.905 102817 -19660.3 700.639
8700000 1025.83 -878.125 102987 -19653.4 705.826
8800000 1043.38 496.244 102659 -19670.9 717.902
8900000 1033.52 2184.31 102343 -19681.7 711.118
9000000 1005.44 -646.698 102581 -19687.4 691.795
9100000 976.457 -1684.13 102983 -19663.4 671.853
9200000 1005.74 -109.14 102847 -19659.9 692.003
9300000 1008.5 1533.98 102337 -19682.8 693.898
9400000 1003.01 1574.26 102271 -19695.8 690.124
9500000 1001.16 -857.75 102738 -19676 688.847
9600000 1014.21 -1679.18 102979 -19664.6 697.831
9700000 995.578 -29.6088 102534 -19685.2 685.009
9800000 984.78 1889.28 102113 -19697.9 677.58
9900000 1000.7 428.369 102436 -19689.9 688.533
10000000 1011.53 -1394.92 102979 -19658.9 695.982
10100000 998.857 -1456.29 102813 -19680.7 687.266
10200000 968.234 971.641 102226 -19698.8 666.195
10300000 995.514 1675.49 102161 -19704.1 684.965
10400000 994.417 -1747.68 102693 -19691.5 684.21
10500000 1001.82 -1352.15 102863 -19671.8 689.305
10600000 1003.53 507.527 102451 -19688.8 690.482
10700000 1005.23 1947.96 102153 -19700.9 691.651
10800000 996.343 -47.8063 102366 -19702.4 685.536
10900000 1003.63 -758.239 102699 -19681.1 690.552
11000000 989.568 -1273.7 102627 -19693.8 680.874
11100000 994.88 945.069 102297 -19702 684.529
11200000 989.026 179.05 102194 -19723 680.501
11300000 992.083 -631.284 102416 -19704.2 682.604
11400000 972.254 -627.634 102558 -19685.7 668.961
11500000 968.26 -304.122 102411 -19699.9 666.213
11600000 985.142 412.164 102223 -19715.7 677.829
11700000 1004.49 -98.7374 102290 -19717.3 691.142
11800000 958.325 -867.217 102473 -19703.8 659.377
11900000 992.782 -607.064 102435 -19703.6 683.085
12000000 993.027 117.166 102240 -19716 683.254
12100000 980.434 55.3538 102202 -19717.3 674.589
12200000 969.861 -525.616 102342 -19713.2 667.314
12300000 983.071 -1752.03 102400 -19724 676.404
12400000 992.574 487.775 102284 -19703.3 682.942
12500000 976.573 606.934 102191 -19716.2 671.932
12600000 983.844 899.067 102254 -19711.8 676.936
12700000 959.406 375.003 102339 -19696.3 660.121
12800000 968.542 166.488 102326 -19711.5 666.407
12900000 975.115 687.657 102189 -19719 670.929
13000000 956.761 1304.21 102117 -19715.4 658.301
13100000 956.473 41.0387 102228 -19713 658.103
13200000 979.951 -597.432 102307 -19721.3 674.257
13300000 962.174 -637.18 102229 -19731.3 662.026
13400000 957.791 335.348 102111 -19724.7 659.01
13500000 971.027 118.447 102140 -19725.2 668.117
13600000 956.828 -772.227 102209 -19734.6 658.347
13700000 961.582 704.232 102191 -19709.6 661.618
13800000 958.739 537.264 102119 -19718.1 659.662
13900000 983.77 119.092 102061 -19739.5 676.885
14000000 972.379 22.5943 102135 -19725.7 669.047
14100000 951.069 99.9403 102166 -19720 654.385
14200000 977.059 65.3667 102082 -19730.8 672.267
14300000 957.489 -801.167 102003 -19750.6 658.802
14400000 951.446 95.4721 102030 -19739.7 654.644
14500000 943.621 -321.127 102127 -19733.7 649.26
14600000 966.797 162.773 102088 -19734.1 665.206
14700000 949.054 -377.19 101968 -19752.6 652.998
14800000 945.182 453.582 101954 -19741.5 650.334
14900000 961.402 -171.965 102059 -19739.3 661.495
15000000 944.647 -61.4597 102048 -19741.5 649.966
15100000 964.752 26.765 101953 -19753.1 663.799
15200000 950.102 253.104 101941 -19739.3 653.719
15300000 951.012 13.3984 101988 -19747.7 654.345
15400000 945.428 -916.961 101985 -19759.3 650.503
15500000 946.121 -410.275 101917 -19754.8 650.981
15600000 943.894 266.784 101868 -19752.1 649.448
15700000 944.922 1431.46 101945 -19724.2 650.155
15800000 953.864 -511.743 101961 -19759.4 656.308
15900000 960.61 -144.616 101876 -19756.5 660.949
16000000 937.788 574.039 101827 -19757.8 645.247
16100000 924.839 -27.1072 101878 -19754.3 636.337
16200000 937.846 116.114 101913 -19748.2 645.287
16300000 916.747 -437.832 101883 -19748.6 630.769
16400000 933.876 64.4455 101786 -19759.4 642.555
16500000 937.623 534.811 101779 -19757.8 645.133
16600000 938.647 379.486 101863 -19744.9 645.838
16700000 938.017 -716.618 101894 -19766.4 645.405
16800000 934.668 -637.992 101754 -19777.4 643.1
16900000 929.962 -789.416 101661 -19785.9 639.862
17000000 937.292 753.581 101783 -19756.3 644.906
17100000 935.899 -652.954 101917 -19770.7 643.947
17200000 930.072 -701.091 101773 -19774.8 639.938
17300000 921.414 1526.86 101534 -19764.5 633.98
17400000 926.994 1225.21 101606 -19765.2 637.82
17500000 932.98 -1021.35 101949 -19766.3 641.938
17600000 949.27 -941.698 101975 -19761.9 653.147
17700000 930.972 -61.652 101566 -19794.6 640.557
17800000 922.479 2215.45 101347 -19776.1 634.713
17900000 914.925 -851.734 101713 -19785.4 629.516
18000000 930.332 -2917.72 102037 -19782.2 640.117
18100000 919.755 -813.793 101733 -19781.8 632.839
18200000 927.459 2589.75 101253 -19779.2 638.14
18300000 907.554 908.313 101429 -19787.7 624.444
18400000 925.947 -1256.6 101969 -19765.5 637.099
18500000 911.89 -456.477 101943 -19762.6 627.428
18600000 915.176 1381.1 101332 -19792.6 629.689
18700000 925.259 3437.56 101149 -19785.1 636.626
18800000 909.187 -1080.6 101700 -19789.5 625.568
18900000 931.037 -1885.75 102038 -19765.1 640.601
19000000 903.053 -1487.36 101596 -19799.9 621.347
19100000 897.592 1999.89 101128 -19804.3 617.59
19200000 912.629 1066.4 101382 -19793.8 627.936
19300000 905.4 -1472.09 101803 -19784.3 622.962
19400000 903.2 -783.153 101705 -19786.9 621.448
19500000 897.792 842.957 101330 -19797.1 617.727
19600000 900.904 897.254 101301 -19803.3 619.869
19700000 912.417 -1015.63 101546 -19803.6 627.79
