# Time-averaged data for fix data_saving
# TimeStep c_mytemp c_mypress v_myvol c_PE c_KE
0 2000 34714.5 87825.6 -20800.3 1376.1
100 1093.95 69416.4 87825.6 -20173.8 752.692
200 1051.08 71046.5 87825.6 -20135.2 723.196
300 1057.33 71170.6 87825.6 -20130 727.501
400 1075.97 70994.9 87825.6 -20134.1 740.325
500 1090.15 71793.3 87825.7 -20133.7 750.083
600 1087.45 72344.2 87825.8 -20120.3 748.22
700 1103.7 72067.1 87825.8 -20119.1 759.402
800 1119.21 72578.7 87825.9 -20116.9 770.077
900 1110.81 73591.2 87826 -20097.8 764.298
1000 1121.02 74140.3 87826.1 -20091 771.322
1100 1134.26 74532.7 87826.2 -20085.9 780.432
1200 1142.88 75311.2 87826.4 -20077.1 786.361
1300 1169.55 75291.9 87826.5 -20080.5 804.71
1400 1167.79 76169.7 87826.7 -20063.8 803.498
1500 1174.01 76980.5 87826.8 -20052.4 807.781
1600 1202.23 76857.1 87827 -20055.7 827.198
1700 1180.94 78319.2 87827.2 -20024.7 812.55
1800 1189.21 79154.5 87827.4 -20013.8 818.239
1900 1217.97 79444.6 87827.6 -20016.7 838.027
2000 1219.53 80279.5 87827.9 -20000.6 839.099
2100 1249.47 80433.8 87828.1 -20003.8 859.701
2200 1264.37 80815.5 87828.3 -19996.3 869.949
2300 1260.46 81689.1 87828.6 -19975.7 867.262
2400 1271.87 82986.9 87828.9 -19965.5 875.11
2500 1292.74 83118.4 87829.2 -19961.4 889.471
2600 1309.31 83543.6 87829.5 -19954.3 900.872
2700 1312.62 84741.5 87829.8 -19937.8 903.151
2800 1334.28 85417.9 87830.1 -19933.8 918.05
2900 1326.77 86531.4 87830.5 -19909.5 912.889
3000 1366.36 86385.1 87830.8 -19917.4 940.127
3100 1356.39 87961 87831.2 -19891.1 933.265
3200 1388.38 87928.2 87831.6 -19893.4 955.277
3300 1397.23 88621.8 87832 -19879.8 961.367
3400 1408.94 89540.9 87832.4 -19867.9 969.427
3500 1429.68 90251.2 87832.8 -19862.1 983.692
3600 1449.07 90738.1 87833.3 -19855.3 997.036
3700 1463.19 91169.8 87833.7 -19844.7 1006.75
3800 1468.37 92189.2 87834.2 -19827.8 1010.32
3900 1468.91 93679.3 87834.7 -19807.7 1010.69
4000 1475.92 94230.4 87835.2 -19791.9 1015.51
4100 1495.18 94808.8 87835.7 -19784.4 1028.76
4200 1533.45 95201.4 87836.2 -19790.1 1055.09
4300 1533.96 96074.7 87836.8 -19769.6 1055.44
4400 1561.57 96642 87837.3 -19767.7 1074.44
4500 1555.96 97821.3 87837.9 -19743 1070.58
4600 1549.37 99184.5 87838.5 -19717.6 1066.04
4700 1590.75 99079.3 87839.1 -19725.2 1094.52
4800 1580.83 100941 87839.7 -19697.3 1087.7
4900 1611.16 101115 87840.4 -19697.3 1108.56
5000 1629.95 101800 87841 -19689.2 1121.49
5100 1659.19 101672 87841.7 -19688.3 1141.61
5200 1657.14 102935 87842.4 -19665.9 1140.2
5300 1668.63 104106 87843.1 -19653.1 1148.11
5400 1683.63 104601 87843.8 -19642.6 1158.43
5500 1717.7 104695 87844.5 -19645.2 1181.87
5600 1691.76 106322 87845.3 -19606.8 1164.02
5700 1713.28 106876 87846.1 -19601.1 1178.82
5800 1747.57 107219 87846.9 -19604.3 1202.42
5900 1761.03 108081 87847.7 -19593.1 1211.68
6000 1750.22 109716 87848.5 -19565.4 1204.24
6100 1768.01 109880 87849.3 -19557.6 1216.48
6200 1763.97 111484 87850.2 -19534.9 1213.7
6300 1790.73 111240 87851 -19533.6 1232.11
6400 1794.14 112397 87851.9 -19516.3 1234.46
6500 1846.27 112038 87852.8 -19532.7 1270.33
6600 1848.82 112972 87853.8 -19515.2 1272.09
6700 1814.86 114999 87854.7 -19472.9 1248.71
6800 1848.65 115231 87855.7 -19477.4 1271.96
6900 1854.44 116376 87856.6 -19462.8 1275.95
7000 1848.66 116981 87857.6 -19440.5 1271.97
7100 1878.36 117395 87858.6 -19442.8 1292.41
7200 1876.03 118591 87859.7 -19423.4 1290.8
7300 1913.55 118040 87860.7 -19431.5 1316.62
7400 1876.4 120300 87861.8 -19388.6 1291.06
7500 1928.51 119369 87862.9 -19407.5 1326.92
7600 1915.95 121593 87864 -19382.2 1318.27
7700 1939.53 121147 87865.1 -19381.9 1334.5
7800 1935.48 121886 87866.3 -19363.1 1331.71
7900 1943.9 122399 87867.4 -19353.4 1337.5
8000 1949.53 123711 87868.6 -19342.2 1341.38
8100 1963.78 124035 87869.8 -19337.1 1351.18
8200 1978.31 124215 87871.1 -19332.5 1361.18
8300 1926.97 126727 87872.3 -19282.9 1325.85
8400 1970.22 126653 87873.6 -19298.7 1355.61
8500 1957.21 127718 87874.9 -19276 1346.66
8600 1920.25 129869 87876.2 -19236.8 1321.23
8700 1925.04 130350 87877.5 -19226.4 1324.53
8800 1896.82 132175 87878.8 -19193.3 1305.11
8900 1938.27 131458 87880.2 -19207.7 1333.63
9000 1918.83 132851 87881.6 -19180.2 1320.26
9100 1914.06 133596 87883 -19162.6 1316.97
9200 1882.06 135759 87884.4 -19125.9 1294.95
9300 1897.47 136043 87885.9 -19121.6 1305.55
9400 1908.7 137094 87887.3 -19114.1 1313.29
9500 1882.13 138969 87888.8 -19080.4 1295.01
9600 1867.36 140974 87890.4 -19054.7 1284.84
9700 1878.73 141351 87891.9 -19046.6 1292.66
9800 1878.45 142040 87893.4 -19030.1 1292.47
9900 1860.27 144211 87895 -19001.3 1279.96
10000 1870.52 144475 87896.6 -18991.9 1287.01
10100 1888.13 144992 87898.3 -18987.5 1299.13
10200 1875.83 146160 87899.9 -18962.6 1290.67
10300 1887.59 146562 87901.6 -18954.2 1298.76
10400 1913.6 146744 87903.3 -18955.7 1316.66
10500 1932.45 147081 87905 -18952.4 1329.63
10600 1942.24 147277 87906.8 -18943.1 1336.36
10700 1940.35 148341 87908.5 -18926 1335.06
10800 1965.1 148856 87910.3 -18927.6 1352.09
10900 1984.36 148923 87912.1 -18925.9 1365.34
11000 1991.58 148799 87914 -18916.5 1370.31
11100 2007.46 149429 87915.8 -18913.7 1381.24
11200 1953.18 151965 87917.7 -18863.2 1343.89
11300 2007.54 150672 87919.6 -18887.8 1381.29
11400 2009.49 151360 87921.5 -18877 1382.63
11500 2029.01 151479 87923.5 -18878.9 1396.06
11600 2033.29 151805 87925.5 -18871.1 1399.01
11700 2063.09 151463 87927.5 -18881.5 1419.51
11800 2024.1 153498 87929.5 -18845.2 1392.69
11900 2041.23 153277 87931.6 -18848.4 1404.47
12000 2059.78 153158 87933.6 -18853.1 1417.23
12100 2025.58 154261 87935.7 -18822.3 1393.7
12200 2049.54 153695 87937.9 -18832.3 1410.19
12300 2048.37 154504 87940 -18826 1409.38
12400 2089.2 153779 87942.2 -18849.9 1437.48
12500 2084.96 153194 87944.4 -18843.8 1434.56
12600 2073.32 154020 87946.6 -18833.6 1426.55
12700 2087.86 154102 87948.9 -18842.4 1436.56
12800 2082.07 153453 87951.1 -18838.3 1432.58
12900 2081.2 153743 87953.4 -18838.7 1431.98
13000 2049.49 154428 87955.7 -18818.8 1410.16
13100 2062.62 154437 87958.1 -18830.8 1419.19
13200 2053.58 154000 87960.4 -18828.4 1412.97
13300 2035.6 154269 87962.8 -18820.8 1400.6
13400 2021.72 154598 87965.3 -18816.9 1391.05
13500 2026.67 154060 87967.7 -18826.6 1394.46
13600 2093.87 151919 87970.2 -18879.9 1440.69
13700 2026.02 153787 87972.6 -18840.9 1394.01
13800 2035.37 152463 87975.2 -18855.4 1400.44
13900 2040.41 152064 87977.7 -18867.4 1403.91
14000 2076.09 150928 87980.3 -18900.9 1428.46
14100 2047.5 150804 87982.8 -18890.3 1408.78
14200 1998.67 151949 87985.4 -18865.8 1375.18
14300 2038.61 150569 87988.1 -18902.4 1402.67
14400 1983.4 150911 87990.7 -18873.4 1364.68
14500 1996.03 150715 87993.4 -18891 1373.37
14600 2004.08 149456 87996.1 -18905.2 1378.91
14700 1978.51 150025 87998.8 -18895.8 1361.32
14800 1989.31 149091 88001.6 -18911.2 1368.75
14900 1971.22 149400 88004.4 -18906.2 1356.3
15000 1957.54 148946 88007.2 -18903.9 1346.89
15100 1956.9 148625 88010 -18910 1346.45
15200 1964.49 148013 88012.8 -18921.3 1351.67
15300 1980.27 147768 88015.7 -18937.7 1362.53
15400 1953.21 148120 88018.6 -18924 1343.91
15500 1948.37 148006 88021.5 -18925 1340.58
15600 1949.37 147745 88024.4 -18929.2 1341.27
15700 1949.68 147285 88027.4 -18932.3 1341.48
15800 1931.66 147762 88030.4 -18922.2 1329.08
15900 1945.99 147541 88033.4 -18933.5 1338.94
16000 1924.9 147786 88036.4 -18919.8 1324.43
16100 1937.22 146649 88039.5 -18928.2 1332.91
16200 1944.34 147514 88042.5 -18932.3 1337.81
16300 1940.36 147165 88045.6 -18928 1335.07
16400 1930.14 148197 88048.8 -18918.6 1328.04
16500 1929.62 147902 88051.9 -18915.1 1327.68
16600 1964.09 147324 88055.1 -18934.8 1351.4
16700 1970.21 146721 88058.3 -18934.4 1355.61
16800 1977.99 147533 88061.5 -18934.7 1360.96
16900 1953.72 148133 88064.7 -18912.5 1344.26
17000 1949.25 148227 88068 -18903.6 1341.18
17100 1996.44 147890 88071.3 -18929.8 1373.65
17200 2032.69 146822 88074.6 -18948.2 1398.59
17300 1993.21 148305 88077.9 -18914.5 1371.43
17400 1986.77 148636 88081.3 -18903.3 1367
17500 1996.52 148904 88084.6 -18903.3 1373.71
17600 1999.64 149225 88088 -18898.7 1375.86
17700 1997.49 149505 88091.5 -18890.5 1374.38
17800 1997.79 150280 88094.9 -18884 1374.58
17900 2005.18 149832 88098.4 -18882.6 1379.67
18000 2009.29 149980 88101.9 -18879.1 1382.5
18100 2024.95 149997 88105.4 -18883.8 1393.27
18200 2028.65 149852 88108.9 -18880.7 1395.82
18300 2028.44 150891 88112.5 -18875.1 1395.67
18400 2036.91 150351 88116.1 -18875.9 1401.5
18500 2017.94 150552 88119.7 -18858.5 1388.45
18600 2024.23 150933 88123.3 -18859 1392.77
18700 2051.79 150168 88127 -18874.6 1411.74
18800 2035.61 150604 88130.7 -18860.8 1400.6
18900 2029.31 151495 88134.4 -18854.4 1396.27
19000 2027.98 151532 88138.1 -18851.9 1395.35
19100 2088.41 150005 88141.8 -18892.1 1436.93
19200 2060.42 150953 88145.6 -18872.2 1417.67
19300 2041.63 150991 88149.4 -18859.2 1404.75
19400 2033.58 151446 88153.2 -18854.1 1399.21
19500 2078.52 149548 88157.1 -18886.1 1430.13
19600 2057.36 149490 88161 -18873.4 1415.57
19700 2043.74 150755 88164.8 -18866.4 1406.2
19800 2054.62 150656 88168.8 -18877 1413.68
19900 2010.08 151055 88172.7 -18849.9 1383.04
20000 2030 149901 88176.7 -18867.6 1396.75
20100 2030.46 150330 88180.6 -18872.4 1397.06
20200 2053.36 149179 88184.7 -18893.2 1412.82
20300 2039 149356 88188.7 -18888.8 1402.94
20400 2020.44 149545 88192.7 -18881.9 1390.17
20500 1983.01 150220 88196.8 -18862.1 1364.41
20600 2006.06 149575 88200.9 -18884 1380.27
20700 1980.51 149816 88205 -18872.5 1362.69
20800 2017.89 148256 88209.2 -18904.1 1388.41
20900 2018.84 147547 88213.4 -18910.7 1389.06
21000 2005.66 147619 88217.5 -18907.5 1380
21100 1967.28 148370 88221.8 -18886.9 1353.59
21200 1990.66 146985 88226 -18908.6 1369.68
21300 1975.2 147611 88230.3 -18903.6 1359.04
21400 1966.21 147309 88234.5 -18902.7 1352.85
21500 1981.94 146736 88238.8 -18918.4 1363.68
21600 1984.07 146217 88243.2 -18924.4 1365.15
21700 1959.64 146972 88247.5 -18911.7 1348.33
21800 1985.86 145985 88251.9 -18933.6 1366.38
21900 1978.76 146007 88256.3 -18932.1 1361.49
22000 1977.68 146149 88260.7 -18934.2 1360.75
22100 1942.58 146382 88265.1 -18912.4 1336.6
22200 1935.67 146202 88269.6 -18909.5 1331.84
22300 1936.42 146609 88274.1 -18911.2 1332.36
22400 1934.32 146840 88278.6 -18910.4 1330.91
22500 1938.43 146541 88283.1 -18913.1 1333.74
22600 1934.73 146835 88287.7 -18909.9 1331.2
22700 1961.96 145819 88292.2 -18927.4 1349.93
22800 1948.32 146308 88296.8 -18916.3 1340.55
22900 1972.36 145686 88301.4 -18930.4 1357.08
23000 1963.03 145861 88306.1 -18920.9 1350.66
23100 1961.28 146494 88310.7 -18916.4 1349.46
23200 1967.56 145844 88315.4 -18916.9 1353.78
23300 2018.74 145333 88320.1 -18948 1388.99
23400 1957.48 147229 88324.8 -18901.5 1346.85
23500 1975.1 146566 88329.6 -18908.8 1358.97
23600 2004.49 145957 88334.4 -18924 1379.2
23700 1972.21 147191 88339.2 -18896.6 1356.98
23800 1964.18 148153 88344 -18885.7 1351.46
23900 1997.56 146915 88348.8 -18903.1 1374.42
24000 1988.8 147351 88353.7 -18891.5 1368.39
24100 2014.6 146366 88358.5 -18903.7 1386.15
24200 1988.4 147288 88363.4 -18880.4 1368.12
24300 2004.01 147450 88368.4 -18886.2 1378.86
24400 2004.97 147330 88373.3 -18882.2 1379.52
24500 2008.91 147987 88378.3 -18880.4 1382.23
24600 2003.76 148247 88383.2 -18872.7 1378.69
24700 2048.83 146780 88388.3 -18899.8 1409.7
24800 2030.7 148281 88393.3 -18883.7 1397.22
24900 2055.98 147139 88398.3 -18897.8 1414.62
25000 2033.71 147796 88403.4 -18879.5 1399.29
25100 2000.94 149153 88408.5 -18854.4 1376.75
25200 2040.9 147933 88413.6 -18879.7 1404.25
25300 2064.06 147737 88418.8 -18893.9 1420.18
25400 2037.98 148084 88423.9 -18875 1402.23
25500 2037.47 148086 88429.1 -18874 1401.89
25600 2037.75 148123 88434.3 -18874.2 1402.08
25700 2029.12 148193 88439.5 -18868.8 1396.14
25800 2030.84 148161 88444.8 -18871.1 1397.33
25900 2037.48 148322 88450 -18877.3 1401.89
26000 2042.29 147968 88455.3 -18882.8 1405.2
26100 2033.21 147872 88460.6 -18879.2 1398.96
26200 2021.26 148288 88466 -18874.1 1390.73
26300 2026.55 147971 88471.3 -18881.3 1394.37
26400 2023.09 147303 88476.7 -18882.8 1391.99
26500 2018.21 147474 88482.1 -18883.7 1388.64
26600 2035.03 146770 88487.5 -18899.8 1400.21
26700 2015.66 146689 88492.9 -18891.2 1386.88
26800 2018.35 146397 88498.4 -18898 1388.73
26900 2016.68 146283 88503.9 -18901.9 1387.58
27000 2009.2 145923 88509.4 -18902 1382.43
27100 1986.52 146368 88514.9 -18891.8 1366.83
27200 1992.11 145480 88520.4 -18900.9 1370.67
27300 2012.23 144984 88526 -18920 1384.52
27400 1990.64 145073 88531.6 -18910.5 1369.67
27500 1981.12 145429 88537.2 -18909.2 1363.11
27600 1989.57 144835 88542.8 -18920.1 1368.92
27700 1977.74 144382 88548.4 -18916.8 1360.79
27800 1990.62 144463 88554.1 -18930.2 1369.65
27900 1959.15 144668 88559.8 -18912.8 1348
28000 1982.33 143169 88565.5 -18932.6 1363.95
28100 1957.86 143981 88571.2 -18919.5 1347.11
28200 1939.57 144200 88576.9 -18910 1334.52
28300 1971.48 143586 88582.7 -18934.7 1356.48
28400 1982.91 142809 88588.5 -18945 1364.35
28500 1954.06 143829 88594.3 -18927.2 1344.49
28600 1946.22 143675 88600.1 -18923.4 1339.1
28700 1960 143157 88605.9 -18934 1348.58
28800 1951.05 142895 88611.8 -18928.5 1342.42
28900 1978.02 142032 88617.7 -18947.3 1360.98
29000 1936.85 143940 88623.6 -18918.7 1332.65
29100 1961.58 142211 88629.5 -18934.9 1349.67
29200 1966.94 142982 88635.4 -18937.4 1353.36
29300 1968.67 142414 88641.4 -18936.9 1354.55
29400 1966.49 143017 88647.3 -18933.2 1353.05
29500 1983.75 142775 88653.3 -18942.5 1364.92
29600 1957.39 143297 88659.3 -18921.4 1346.79
29700 1987.96 142550 88665.4 -18939 1367.82
29800 1983.18 143110 88671.4 -18932 1364.53
29900 1978.83 143630 88677.5 -18925.2 1361.54
30000 1990.26 143516 88683.6 -18929.1 1369.4
30100 1991.66 143683 88689.7 -18925.8 1370.36
30200 2000.67 143590 88695.8 -18927.6 1376.57
30300 1981.7 143288 88701.9 -18910.2 1363.51
30400 1994.93 144016 88708.1 -18914.8 1372.61
30500 1997.31 143375 88714.2 -18912 1374.25
30600 2019.06 143495 88720.4 -18922.5 1389.22
30700 1990.04 144339 88726.7 -18898.3 1369.25
30800 2016.33 143774 88732.9 -18912.1 1387.34
30900 2022.79 143833 88739.1 -18912.5 1391.79
31000 2014.95 143704 88745.4 -18903.4 1386.39
31100 2026.35 143507 88751.7 -18907.8 1394.23
31200 2017.7 144870 88758 -18898.8 1388.28
31300 2015.74 144147 88764.3 -18894.5 1386.94
31400 2028.21 144498 88770.6 -18900.4 1395.51
31500 1999.16 144956 88777 -18878 1375.53
31600 2045.16 144320 88783.4 -18907.6 1407.18
31700 2034.19 144340 88789.8 -18898.3 1399.63
31800 2038.22 144642 88796.2 -18899.7 1402.4
31900 2038.23 143904 88802.6 -18898.9 1402.4
32000 2032.54 144199 88809 -18894.6 1398.49
32100 2040.79 144386 88815.5 -18900.5 1404.17
32200 2031.12 144416 88822 -18894.5 1397.51
32300 2041.33 144053 88828.5 -18902.7 1404.54
32400 2016.92 144433 88835 -18887.5 1387.75
32500 2035.35 143643 88841.5 -18902.3 1400.43
32600 1992.55 144137 88848.1 -18875.3 1370.97
32700 2032.58 143059 88854.6 -18905.7 1398.52
32800 2029.8 143089 88861.2 -18907 1396.6
32900 2019.01 143709 88867.8 -18902.9 1389.18
33000 2038.6 142782 88874.4 -18920.1 1402.66
33100 2002.8 142871 88881.1 -18899.4 1378.03
33200 1969 143877 88887.7 -18880.3 1354.77
33300 2007.77 142500 88894.4 -18911.4 1381.45
33400 2015.16 141907 88901.1 -18920.9 1386.53
33500 2017.81 141384 88907.7 -18927.4 1388.36
33600 2001.75 141828 88914.5 -18921 1377.31
33700 2006.38 141073 88921.2 -18929 1380.49
33800 1985.17 141427 88927.9 -18919.3 1365.9
33900 1998.4 140831 88934.7 -18933 1375
34000 1988.66 140890 88941.5 -18930.7 1368.3
34100 1986.86 140602 88948.3 -18933.8 1367.06
34200 1967.46 140899 88955.1 -18924.6 1353.71
34300 1984.96 140471 88961.9 -18940.6 1365.76
34400 1970.49 140391 88968.7 -18934.1 1355.8
34500 1992 139745 88975.6 -18952.2 1370.6
34600 1989.7 139197 88982.4 -18953.6 1369.02
34700 1938.7 140484 88989.3 -18921.3 1333.93
34800 1972.1 139739 88996.2 -18946.6 1356.91
34900 1963.65 139740 89003.1 -18942.8 1351.09
35000 1958.71 139554 89010 -18940.9 1347.7
35100 1946.87 140072 89017 -18933.7 1339.55
35200 1956.04 139841 89023.9 -18940.4 1345.86
35300 1952.64 140135 89030.9 -18938 1343.52
35400 1975.66 138717 89037.9 -18953.3 1359.35
35500 1979.06 138997 89044.9 -18954.7 1361.69
35600 1983.08 138535 89051.9 -18956.1 1364.46
35700 1964.96 139704 89058.9 -18942 1351.99
35800 1975.85 139115 89065.9 -18947.6 1359.49
35900 2014.98 138315 89073 -18972.3 1386.41
36000 1964.01 139475 89080 -18934.7 1351.34
36100 1967.02 139706 89087.1 -18934.1 1353.41
36200 1979.2 139153 89094.2 -18939.3 1361.79
36300 2037.93 138238 89101.3 -18976.3 1402.2
36400 1979.28 139976 89108.4 -18932.4 1361.85
36500 2014.27 139046 89115.5 -18952.9 1385.92
36600 2009.92 138705 89122.7 -18946.3 1382.93
36700 2004.22 139278 89129.8 -18938.8 1379.01
36800 2004.5 139415 89137 -18935.6 1379.2
36900 2005.68 139773 89144.2 -18932.9 1380.01
37000 2027.6 139394 89151.4 -18944.4 1395.09
37100 1989.41 140348 89158.6 -18914.7 1368.82
37200 2003.67 140165 89165.8 -18921.1 1378.63
37300 2025.14 139053 89173 -18932.6 1393.4
37400 2002.29 139890 89180.2 -18913.8 1377.68
37500 2004.37 140120 89187.5 -18912.2 1379.11
37600 2032.86 140196 89194.8 -18929 1398.71
37700 2009.39 139758 89202 -18910.5 1382.56
37800 2027.07 139401 89209.3 -18920.6 1394.73
37900 2031.6 140103 89216.6 -18922.1 1397.85
38000 2031.86 140180 89223.9 -18921 1398.03
38100 2044.86 139905 89231.3 -18928.9 1406.97
38200 2034.24 139489 89238.6 -18920.9 1399.66
38300 2033.43 140063 89245.9 -18919.9 1399.1
38400 2044.61 139598 89253.3 -18927.5 1406.8
38500 2013.95 140308 89260.7 -18906.6 1385.71
38600 2013.15 139718 89268 -18906.6 1385.15
38700 2031.14 139052 89275.4 -18919.8 1397.53
38800 2013.24 139952 89282.8 -18908.6 1385.22
38900 2013.85 139772 89290.2 -18910.4 1385.63
