# Time-averaged data for fix data_saving
# TimeStep c_mytemp c_mypress v_myvol c_PE c_KE
0 1100 27183.3 87825.6 -20800.3 756.857
100000 1073.59 39183.9 91913.7 -20100.7 738.689
200000 1098.9 10748.8 96442 -19989.3 756.103
300000 1089.75 19691.2 99496 -19618.8 749.807
400000 1103.75 5285.75 102312 -19522.4 759.435
500000 1105.33 -345.374 103445 -19485.2 760.522
600000 1101.95 -2578.19 103521 -19506 758.196
700000 1079.11 175.119 103240 -19493.7 742.482
800000 1082.21 871.71 103115 -19496.1 744.616
900000 1075.02 -362.691 103173 -19509.6 739.669
1000000 1075.28 -1267.08 103228 -19521.3 739.848
1100000 1093.37 -701.119 103210 -19512.6 752.293
1200000 1093.14 920.491 103149 -19501.6 752.134
1300000 1082.9 1063.55 103124 -19500.5 745.092
1400000 1082.09 415.614 103140 -19510.9 744.536
1500000 1096.98 290.091 103169 -19502.8 754.781
1600000 1058.92 278.607 103158 -19506.6 728.592
1700000 1083.11 1413.96 103102 -19493.3 745.238
1800000 1068.75 -1051.31 103091 -19530.5 735.352
1900000 1062.91 718.571 103094 -19505.3 731.336
2000000 1089.97 620.624 103102 -19507.6 749.957
2100000 1076.68 -472.31 103092 -19524.5 740.811
2200000 1071.33 -1079.71 103060 -19531.7 737.128
2300000 1084.48 15.5989 103018 -19522.6 746.18
2400000 1106.03 48.1634 103049 -19522.7 761.003
2500000 1101.21 366.285 103077 -19518.2 757.692
2600000 1075.75 -270.184 103062 -19521.1 740.172
2700000 1058.28 -256.509 103031 -19525.9 728.15
2800000 1072.22 773.576 102974 -19520.4 737.742
2900000 1070.97 975.18 102978 -19512.3 736.88
3000000 1051 501.532 103011 -19509.8 723.144
3100000 1068.66 454.129 102985 -19525 735.296
3200000 1072.86 470.369 102925 -19523.4 738.186
3300000 1042.59 -1129.74 102938 -19547.2 717.358
3400000 1079.31 30.4657 102992 -19524 742.624
3500000 1073.11 102.611 102987 -19527.4 738.356
3600000 1062.93 -456.542 102898 -19544.5 731.35
3700000 1062.3 -817.591 102852 -19544.4 730.92
3800000 1068.69 231.342 102907 -19527.1 735.317
3900000 1061.75 -813.51 102945 -19539.5 730.538
4000000 1065.89 -853.8 102904 -19550.6 733.389
4100000 1034.19 -128.731 102830 -19544.4 711.577
4200000 1052.66 408.789 102826 -19532.1 724.284
4300000 1045.5 -117.828 102864 -19539.2 719.357
4400000 1050.71 -423.811 102881 -19533.8 722.94
4500000 1082.68 -378.424 102862 -19546.1 744.938
4600000 1070.5 483.881 102818 -19541.2 736.559
4700000 1061.8 4.20614 102785 -19548.8 730.576
4800000 1070.26 125.846 102806 -19541.6 736.393
4900000 1050.91 609.739 102817 -19535 723.084
5000000 1052.86 -65.1486 102790 -19537 724.419
5100000 1028.42 480.445 102741 -19540.4 707.604
5200000 1038.95 -189.716 102709 -19556.3 714.851
5300000 1049.2 264.986 102750 -19541.3 721.902
5400000 1043.63 -105.32 102802 -19542.1 718.072
5500000 1051.56 555.388 102747 -19540.4 723.53
5600000 1033.38 -182.675 102656 -19557.5 711.019
5700000 1035.1 -131.427 102693 -19553.8 712.205
5800000 1022.2 -1084.18 102763 -19559.9 703.323
5900000 1037.95 -47.3976 102680 -19560.2 714.166
6000000 1042.15 755.109 102585 -19559.1 717.051
6100000 1027.94 506.171 102635 -19556.9 707.273
6200000 1017.64 206.601 102734 -19550.3 700.187
6300000 1030.87 -520.567 102719 -19561.2 709.292
6400000 1032.57 779.786 102572 -19556.6 710.465
6500000 1030.02 204.841 102496 -19574.5 708.709
6600000 1040.67 103.355 102609 -19566.8 716.031
6700000 1044.33 -485.246 102706 -19564.6 718.551
6800000 1027.8 -506.197 102622 -19569.4 707.18
6900000 1038.29 1645.65 102467 -19558.1 714.395
7000000 1033.96 333.057 102510 -19566.9 711.42
7100000 1028.53 -664.004 102651 -19571.3 707.679
7200000 1007.97 -1404.46 102692 -19576.1 693.537
7300000 1005.33 135.393 102502 -19572.9 691.719
7400000 1018.64 331.014 102369 -19582.8 700.878
7500000 1010.93 266.69 102511 -19573.8 695.571
7600000 1033.19 -513.446 102667 -19566.4 710.889
7700000 1009.19 -561.803 102563 -19576.2 694.377
7800000 1024.94 1648.76 102315 -19572.9 705.21
7900000 1021.03 1201.36 102334 -19578.4 702.523
8000000 1045.04 51.9607 102594 -19567.8 719.044
8100000 1032.74 -1420.89 102691 -19573.5 710.58
8200000 1015.26 0.944108 102412 -19584 698.551
8300000 1006.22 1946.93 102155 -19580.6 692.332
8400000 1006.78 -258.58 102390 -19588.7 692.715
8500000 1019.18 -2514.49 102748 -19580.5 701.251
8600000 1020.02 -1058.91 102581 -19581.1 701.829
8700000 991.591 851.796 102095 -19597.4 682.266
8800000 1024.24 2574.17 102066 -19581.3 704.733
8900000 1005.65 -1499.12 102615 -19578.8 691.936
9000000 1014 -3209.98 102766 -19588.3 697.683
9100000 1002.56 232.034 102231 -19597.3 689.812
9200000 998.383 2229.27 101884 -19609.8 686.939
9300000 1008.41 176.427 102289 -19595.1 693.841
9400000 1010.91 -884.292 102756 -19563.1 695.555
9500000 1007.3 -1141.19 102472 -19595.3 693.075
9600000 1022.33 1428.36 101944 -19611.1 703.415
9700000 998.757 1373.4 102010 -19605.3 687.196
9800000 1001.06 -1085.31 102468 -19593 688.778
9900000 1006.12 -1433.61 102549 -19584.7 692.262
10000000 1021.85 1117.18 102189 -19591.9 703.084
10100000 990.64 826.169 102023 -19608.3 681.611
10200000 1015.33 -374.919 102246 -19611.5 698.603
10300000 1004.41 -419.271 102409 -19593.6 691.087
10400000 1000.2 -531.434 102287 -19612.6 688.192
10500000 982.843 1382.88 102074 -19599.3 676.247
10600000 1001.38 696.788 102062 -19614.3 689.002
10700000 992.66 408.306 102250 -19596.8 683.001
10800000 986.413 -859.288 102300 -19611.8 678.703
10900000 997.276 75.5579 102145 -19614.7 686.177
11000000 1009.26 1094.9 102042 -19612.3 694.425
11100000 979.088 451.893 102114 -19611.4 673.663
11200000 987.95 -541.72 102241 -19609.1 679.761
11300000 959.536 535.735 102192 -19594.5 660.21
11400000 958.373 -379.709 102004 -19628.5 659.41
11500000 973.41 897.408 101950 -19617.4 669.756
11600000 964.309 472.075 102130 -19604.6 663.494
11700000 990.73 -697.297 102219 -19616 681.673
11800000 972.368 -518.286 102056 -19630.5 669.04
11900000 972.745 -298.282 101912 -19640.6 669.299
12000000 990.06 -322.964 102004 -19627.5 681.212
12100000 983.951 -433.91 102159 -19618.7 677.009
12200000 975.775 660.366 102094 -19608.5 671.384
12300000 978.268 695.029 101888 -19632.1 673.099
12400000 975.971 -943.308 101898 -19645.7 671.519
12500000 976.88 -1504.38 102089 -19637.2 672.144
12600000 957.947 -1738.99 102084 -19642.7 659.117
12700000 970.21 624.74 101889 -19628.9 667.555
12800000 970.574 291.453 101824 -19640 667.805
12900000 969.57 332.647 101956 -19625.3 667.114
13000000 977.496 -730.562 102048 -19629 672.568
13100000 954.079 1209.73 101954 -19616.6 656.456
13200000 982.418 291.645 101811 -19642.7 675.954
13300000 977.698 1179.92 101837 -19625 672.707
13400000 977.507 -338.572 102014 -19630.9 672.576
13500000 962.028 102.922 101993 -19626.6 661.925
13600000 945.922 267.529 101741 -19639.6 650.843
13700000 967.329 2124.05 101654 -19636.4 665.573
13800000 968.141 -545.864 101887 -19639.8 666.131
13900000 953.795 -1610.2 102038 -19639.7 656.26
14000000 961.276 492.642 101815 -19638.1 661.408
14100000 960.237 695.783 101603 -19657.9 660.692
14200000 957.01 -313.838 101756 -19652.6 658.473
14300000 953.752 -981.936 101973 -19641.3 656.23
14400000 950.623 -895.857 101891 -19648.9 654.078
14500000 955.984 -343.297 101613 -19672.7 657.767
14600000 958.819 636.454 101570 -19664.4 659.717
14700000 942.837 -1796.09 101850 -19660.1 648.721
14800000 943.016 -1098.23 101965 -19645 648.844
14900000 970.757 653.187 101716 -19647.1 667.931
15000000 959.719 1276.67 101494 -19663 660.337
15100000 939.505 -25.1482 101648 -19656.8 646.428
15200000 947.391 -1309.5 101909 -19653.1 651.854
15300000 933.174 -598.811 101820 -19658.5 642.072
15400000 944.963 2083.57 101513 -19648.1 650.184
15500000 958.611 1185.75 101490 -19663.4 659.574
15600000 949.122 362.175 101742 -19648.4 653.045
15700000 958.993 -835.476 101856 -19647.9 659.837
15800000 968.325 471.225 101622 -19660.4 666.258
15900000 943.26 1145.55 101385 -19673.2 649.012
16000000 957.306 181.471 101549 -19675.9 658.676
16100000 932.309 -1516.43 101817 -19662.2 641.477
