atom x[N] y[N] z[N]
0 -3.40395e-17 -6.81871e-16 -1.36385e-14 
1 -8.00678e-15 -7.36199e-15 -1.36384e-14 
2 -1.60468e-14 -6.81144e-16 -2.50666e-15 
3 -3.21963e-17 -1.54019e-14 -1.85863e-14 
4 -9.99607e-15 -9.27069e-15 -3.83066e-14 
5 -1.15165e-14 -1.53252e-14 -3.89302e-14 
6 -1.3034e-14 -9.26973e-15 -2.717e-14 
7 -6.95319e-15 -3.14773e-14 -5.07359e-14 
8 -1.64401e-14 -2.54259e-14 -7.05347e-14 
9 -1.78662e-14 -3.14697e-14 -7.1165e-14 
10 -1.9293e-14 -2.54229e-14 -5.93921e-14 
11 -1.26987e-14 -4.75455e-14 -8.2872e-14 
12 -2.21587e-14 -4.14961e-14 -1.02672e-13 
13 -2.35778e-14 -4.75374e-14 -1.033e-13 
14 -2.49978e-14 -4.14911e-14 -9.15231e-14 
15 -1.83834e-14 -6.36077e-14 -1.14996e-13 
16 -2.78391e-14 -5.75583e-14 -1.34795e-13 
17 -2.92564e-14 -6.35977e-14 -1.35422e-13 
18 -3.06747e-14 -5.75513e-14 -1.2364e-13 
19 -2.40582e-14 -7.96639e-14 -1.47108e-13 
20 -3.35118e-14 -7.36144e-14 -1.66906e-13 
21 -3.49283e-14 -7.96519e-14 -1.6753e-13 
22 -3.63458e-14 -7.36054e-14 -1.55745e-13 
23 -2.97294e-14 -9.5714e-14 -1.79208e-13 
24 -3.91814e-14 -8.96645e-14 -1.99005e-13 
25 -4.05972e-14 -9.57e-14 -1.99627e-13 
26 -4.20142e-14 -8.96535e-14 -1.87838e-13 
27 -3.53981e-14 -1.11758e-13 -2.11296e-13 
28 -4.48486e-14 -1.05709e-13 -2.31092e-13 
29 -4.62642e-14 -1.11742e-13 -2.31712e-13 
30 -4.76808e-14 -1.05695e-13 -2.19919e-13 
31 -4.10654e-14 -1.27796e-13 -2.43372e-13 
32 -5.05143e-14 -1.21747e-13 -2.63166e-13 
33 -5.19291e-14 -1.27778e-13 -2.63785e-13 
34 -5.33449e-14 -1.21731e-13 -2.51988e-13 
35 -4.67298e-14 -1.43828e-13 -2.75436e-13 
36 -5.6177e-14 -1.37778e-13 -2.95229e-13 
37 -5.75913e-14 -1.43808e-13 -2.95845e-13 
38 -5.90066e-14 -1.37761e-13 -2.84044e-13 
39 -5.23919e-14 -1.59854e-13 -3.07487e-13 
40 -6.18377e-14 -1.53804e-13 -3.2728e-13 
41 -6.32517e-14 -1.59832e-13 -3.27894e-13 
42 -6.46667e-14 -1.53785e-13 -3.16089e-13 
43 -5.80527e-14 -1.75874e-13 -3.39527e-13 
44 -6.74971e-14 -1.69824e-13 -3.59318e-13 
45 -6.89105e-14 -1.7585e-13 -3.5993e-13 
46 -7.0325e-14 -1.69803e-13 -3.48121e-13 
47 -6.37114e-14 -1.91888e-13 -3.71554e-13 
48 -7.31543e-14 -1.85838e-13 -3.91345e-13 
49 -7.45672e-14 -1.91862e-13 -3.91955e-13 
50 -7.59812e-14 -1.85815e-13 -3.80142e-13 
51 -6.93681e-14 -2.07896e-13 -4.0357e-13 
52 -7.88094e-14 -2.01846e-13 -4.23359e-13 
53 -8.02215e-14 -2.07868e-13 -4.23967e-13 
54 -8.16348e-14 -2.01821e-13 -4.1215e-13 
55 -7.5022e-14 -2.23898e-13 -4.35573e-13 
56 -8.44618e-14 -2.17848e-13 -4.55362e-13 
57 -8.58738e-14 -2.23868e-13 -4.55967e-13 
58 -8.72868e-14 -2.17821e-13 -4.44147e-13 
59 -8.06748e-14 -2.39894e-13 -4.67565e-13 
60 -9.01134e-14 -2.33844e-13 -4.87352e-13 
61 -9.15252e-14 -2.39862e-13 -4.87956e-13 
62 -9.29382e-14 -2.33814e-13 -4.76131e-13 
63 -8.63269e-14 -2.55884e-13 -4.99544e-13 
64 -9.57648e-14 -2.49833e-13 -5.1933e-13 
65 -9.71785e-14 -2.55849e-13 -5.19932e-13 
66 -9.85932e-14 -2.49802e-13 -5.08103e-13 
67 -9.19834e-14 -2.71867e-13 -5.31511e-13 
68 -1.01426e-13 -2.65818e-13 -5.51297e-13 
69 -1.0286e-13 -2.7183e-13 -5.51898e-13 
70 -1.04295e-13 -2.65784e-13 -5.40064e-13 
71 -9.7692e-14 -2.87845e-13 -5.63467e-13 
72 -1.07222e-13 -2.81804e-13 -5.8326e-13 
73 -1.09169e-13 -2.87733e-13 -5.8394e-13 
74 -1.1112e-13 -2.81769e-13 -5.7202e-13 
75 -1.04611e-13 -3.03817e-13 -5.9541e-13 
76 -1.2063e-13 -2.984e-13 -6.15827e-13 
77 -1.1263e-13 -3.11816e-13 -6.09014e-13 
78 -1.04601e-13 -2.98344e-13 -6.04598e-13 
79 -1.04567e-13 -3.19781e-13 -6.2734e-13 
80 -1.04598e-13 -3.35179e-13 -6.48728e-13 
81 -1.12559e-13 -3.34401e-13 -6.49963e-13 
82 -1.20576e-13 -3.41157e-13 -6.44531e-13 
83 -1.04593e-13 -3.48387e-13 -6.59257e-13 
84 -1.14524e-13 -3.55686e-13 -6.73177e-13 
85 -1.16032e-13 -3.54268e-13 -6.75032e-13 
86 -1.1754e-13 -3.61644e-13 -6.68971e-13 
87 -1.11467e-13 -3.7634e-13 -6.91164e-13 
88 -1.20924e-13 -3.8372e-13 -7.05165e-13 
89 -1.2234e-13 -3.82292e-13 -7.07026e-13 
90 -1.23757e-13 -3.89674e-13 -7.00951e-13 
91 -1.17172e-13 -4.04285e-13 -7.23059e-13 
92 -1.26602e-13 -4.11665e-13 -7.37062e-13 
93 -1.28011e-13 -4.10235e-13 -7.38921e-13 
94 -1.29421e-13 -4.17614e-13 -7.32841e-13 
95 -1.22816e-13 -4.3222e-13 -7.54942e-13 
96 -1.32242e-13 -4.39597e-13 -7.68945e-13 
97 -1.33649e-13 -4.38166e-13 -7.70802e-13 
98 -1.35058e-13 -4.45543e-13 -7.64717e-13 
99 -1.28451e-13 -4.60145e-13 -7.86813e-13 
100 -1.37875e-13 -4.67519e-13 -8.00815e-13 
101 -1.3928e-13 -4.66086e-13 -8.0267e-13 
102 -1.40688e-13 -4.7346e-13 -7.96581e-13 
103 -1.34081e-13 -4.88059e-13 -8.18672e-13 
104 -1.43504e-13 -4.95431e-13 -8.32674e-13 
105 -1.44909e-13 -4.93996e-13 -8.34527e-13 
106 -1.46316e-13 -5.01367e-13 -8.28433e-13 
107 -1.3971e-13 -5.15962e-13 -8.50519e-13 
108 -1.4913e-13 -5.23331e-13 -8.64521e-13 
109 -1.50535e-13 -5.21895e-13 -8.66371e-13 
110 -1.51942e-13 -5.29264e-13 -8.60273e-13 
111 -1.45336e-13 -5.43855e-13 -8.82354e-13 
112 -1.54756e-13 -5.51222e-13 -8.96355e-13 
113 -1.5616e-13 -5.49784e-13 -8.98203e-13 
114 -1.57566e-13 -5.5715e-13 -8.921e-13 
115 -1.5096e-13 -5.71738e-13 -9.14177e-13 
116 -1.60378e-13 -5.79101e-13 -9.28178e-13 
117 -1.61781e-13 -5.77662e-13 -9.30024e-13 
118 -1.63187e-13 -5.85026e-13 -9.23916e-13 
119 -1.56582e-13 -5.9961e-13 -9.45988e-13 
120 -1.65998e-13 -6.06971e-13 -9.59988e-13 
