atom x[N] y[N] z[N]
0 -1.84974e+09 -3.64329e+09 -7.23009e+09 
1 -1.73474e+09 7.2995e+07 -7.22875e+09 
2 -1.62092e+09 -1.53581e+08 3.14965e+08 
3 5.01585e+09 -3.1864e+09 5.41271e+08 
4 -4.83154e+09 -3.6243e+07 -3.51056e+09 
5 2.03078e+09 -2.84622e+09 -3.73419e+09 
6 1.9202e+09 2.77863e+09 -2.0419e+09 
7 9.10924e+08 -5.43078e+09 -1.59063e+09 
8 -1.378e+09 -5.39539e+09 -3.16477e+09 
9 -1.2633e+09 4.39191e+09 -3.16358e+09 
10 -1.14949e+09 -2.5795e+09 -5.75235e+08 
11 3.68781e+09 1.80867e+09 -3.48781e+08 
12 -3.47701e+09 -2.23815e+09 -7.95204e+08 
13 1.58586e+09 1.92366e+09 -1.01899e+09 
14 1.47529e+09 -9.70968e+07 -1.58213e+09 
15 4.65724e+08 1.52468e+07 -1.13071e+09 
16 -1.35677e+09 -1.7996e+09 -2.47326e+09 
17 -3.42784e+08 1.91462e+09 -2.02125e+09 
18 -2.28969e+08 -1.09665e+08 4.61876e+09 
19 1.90928e+09 4.54973e+08 4.39557e+09 
20 -1.67191e+09 6.47518e+06 3.46709e+08 
21 6.91897e+08 7.95127e+08 5.73751e+08 
22 5.81328e+08 1.02157e+09 3.16386e+09 
23 4.71053e+08 1.03169e+07 3.16564e+09 
24 -8.86317e+08 1.49151e+07 1.59211e+09 
25 1.27369e+08 2.60407e+09 2.04397e+09 
26 2.41175e+08 1.03106e+09 3.73332e+09 
27 5.79952e+08 1.8206e+09 3.51028e+09 
28 -3.16087e+08 1.37243e+09 3.06211e+09 
29 2.48262e+08 1.93678e+09 3.28901e+09 
30 1.37702e+08 1.71374e+09 3.62839e+09 
31 565434 3.80864e+07 7.56315e+07 
