atom x[m] y[m] z[m]
0 0 0 0 
1 2.85e-10 2.85e-10 0 
2 2.85e-10 0 2.85e-10 
3 0 2.85e-10 2.85e-10 
4 5.7e-10 0 0 
5 8.55e-10 2.85e-10 0 
6 8.55e-10 0 2.85e-10 
7 5.7e-10 2.85e-10 2.85e-10 
8 1.14e-09 0 0 
9 1.425e-09 2.85e-10 0 
10 1.425e-09 0 2.85e-10 
11 1.14e-09 2.85e-10 2.85e-10 
12 1.71e-09 0 0 
13 1.995e-09 2.85e-10 0 
14 1.995e-09 0 2.85e-10 
15 1.71e-09 2.85e-10 2.85e-10 
16 2.28e-09 0 0 
17 2.565e-09 2.85e-10 0 
18 2.565e-09 0 2.85e-10 
19 2.28e-09 2.85e-10 2.85e-10 
20 0 5.7e-10 0 
21 2.85e-10 8.55e-10 0 
22 2.85e-10 5.7e-10 2.85e-10 
23 0 8.55e-10 2.85e-10 
24 5.7e-10 5.7e-10 0 
25 8.55e-10 8.55e-10 0 
26 8.55e-10 5.7e-10 2.85e-10 
27 5.7e-10 8.55e-10 2.85e-10 
28 1.14e-09 5.7e-10 0 
29 1.425e-09 8.55e-10 0 
30 1.425e-09 5.7e-10 2.85e-10 
31 1.14e-09 8.55e-10 2.85e-10 
32 1.71e-09 5.7e-10 0 
33 1.995e-09 8.55e-10 0 
34 1.995e-09 5.7e-10 2.85e-10 
35 1.71e-09 8.55e-10 2.85e-10 
36 2.28e-09 5.7e-10 0 
37 2.565e-09 8.55e-10 0 
38 2.565e-09 5.7e-10 2.85e-10 
39 2.28e-09 8.55e-10 2.85e-10 
40 0 1.14e-09 0 
41 2.85e-10 1.425e-09 0 
42 2.85e-10 1.14e-09 2.85e-10 
43 0 1.425e-09 2.85e-10 
44 5.7e-10 1.14e-09 0 
45 8.55e-10 1.425e-09 0 
46 8.55e-10 1.14e-09 2.85e-10 
47 5.7e-10 1.425e-09 2.85e-10 
48 1.14e-09 1.14e-09 0 
49 1.425e-09 1.425e-09 0 
50 1.425e-09 1.14e-09 2.85e-10 
51 1.14e-09 1.425e-09 2.85e-10 
52 1.71e-09 1.14e-09 0 
53 1.995e-09 1.425e-09 0 
54 1.995e-09 1.14e-09 2.85e-10 
55 1.71e-09 1.425e-09 2.85e-10 
56 2.28e-09 1.14e-09 0 
